dataset,url,category,size,license,openeurollm_language_fit,recommendation,when_to_use,cautions
Aya Dataset,https://huggingface.co/datasets/CohereForAI/aya_dataset,multilingual_sft,204k,Apache-2.0,strong,very_high,"Target-language SFT seed data; human-authored multilingual instruction tuning; evaluation seed generation","Inspect target-language coverage; decontaminate if used for both train and eval"
HelpSteer3,https://huggingface.co/datasets/nvidia/HelpSteer3,preference_feedback_edit,132k,CC-BY-4.0,strong,very_high,"DPO; reward-model training; judge calibration; feedback/edit experiments","Confirm target-language coverage; keep preference/edit subsets separate"
M2Lingual,https://huggingface.co/datasets/ServiceNow-AI/M2Lingual,multilingual_multiturn_sft,175k,CC-BY-NC-SA-4.0,strong_for_research,high,"Research ablations for multilingual multi-turn instruction following; target-language benchmark design","Likely research-only due non-commercial share-alike license"
Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,multilingual_reasoning_sft,3.07M,NVIDIA Open Model License,medium,medium_high,"EU reasoning baselines in supported languages; multilingual STEM/code/math SFT","Check coverage against OpenEuroLLM target languages; review license"
AutoIF-instruct-61k-with-funcs,https://huggingface.co/datasets/Post-training-Data-Flywheel/AutoIF-instruct-61k-with-funcs,instruction_following,61.5k,check_dataset_card,medium_high,high,"Constraint-following SFT; translated instruction-following data for target languages","Inspect generation quality and license"
ifeval-like-data,https://huggingface.co/datasets/argilla/ifeval-like-data,instruction_following,56.3k,check_dataset_card,medium_high,high,"Small filtered instruction-following SFT; IFEval-style target-language adaptation","Use filtered subset; verify contamination against IFEval"
xlam-function-calling-60k,https://huggingface.co/datasets/Salesforce/xlam-function-calling-60k,function_calling,60k,check_dataset_card,medium,high,"Function-calling baseline; structured output training","Normalize schema before mixing with other tool datasets"
ToolACE,https://huggingface.co/datasets/Team-ACE/ToolACE,function_calling,11.3k,check_dataset_card,medium,medium_high,"Compact tool-use SFT; schema and argument extraction training","Small dataset; inspect tool schema compatibility"
hermes-function-calling-v1,https://huggingface.co/datasets/NousResearch/hermes-function-calling-v1,function_calling,11.6k,check_dataset_card,medium,medium_high,"Function-call format training; structured output training","Normalize message and function-call format"
ToolMind,https://huggingface.co/datasets/Nanbeige/ToolMind,tool_reasoning,369k,check_dataset_card,medium,medium,"Research candidate for reasoning-enhanced tool use","Review license and quality carefully"
FunReason-MT,https://huggingface.co/datasets/Bingguang/FunReason-MT,multiturn_tool_reasoning,17k,check_dataset_card,medium,medium,"Multi-turn function-calling research; complex tool trajectories","Small and likely specialized; inspect schema"
APIGen-MT-5k,https://huggingface.co/datasets/Salesforce/APIGen-MT-5k,multiturn_agentic,5k,CC-BY-NC-4.0,medium,research_only,"Research-only multi-turn agentic trajectories","Non-commercial license"
MathX-5M,https://huggingface.co/datasets/Modotte/MathX-5M,math_reasoning_sft,5.05M,check_dataset_card,language_agnostic_high_capability,medium_high,"Reasoning SFT; translated STEM ablations for target languages","Synthetic style and license need review"
NuminaMath-CoT,https://huggingface.co/datasets/AI-MO/NuminaMath-CoT,math_reasoning_sft,859k,check_dataset_card,language_agnostic_high_capability,medium_high,"Math reasoning SFT baseline; controlled target-language STEM translation","Handle chain-of-thought policy and formatting carefully"
Nemotron-SFT-Math-v3,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Math-v3,math_reasoning_sft,1.24M,NVIDIA Open Model License,language_agnostic_high_capability,medium_high,"Math SFT ablations; compare against existing MegaMath/FineMath mix","Review license and overlap with existing Nemotron math work"
